Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",0603,2,1uF,C23630
"C10, C20, C21, C31, C32, C9",0603,6,18p,
"C11, C22, C33",0603,3,100n,
"C12, C13, C23, C24, C34, C35",0603,6,1n,
"C14, C15, C25, C26, C36, C37, C60, C62",0603,8,1u,
"C16, C17, C27, C28, C5, C6",0603,6,0.1u,
"C18, C19, C29, C30, C7, C8",0603,6,10u,
"C2, C4",0603,2,1uF,C513735
"C38, C40, C42, C44, C46, C48, C50, C52, C54",0603,9,2.2uF,
"C39, C43, C45, C49, C51, C55",0603,6,0.1uF,
"C41, C47, C53",0603,3,0.15uF,
C56,0805,1,22uF 16V,
C57,0603,1,100nF,
C58,0603,1,10nF,
C59,0603,1,1nF,
C61,0603,1,10pF,
C63,1210,1,47uF,
"D1, D2, D3, D4, D5, D6",SOT-23,6,BAT54S,
D7,D_SMA,1,B340A,
"FB1, FB2, FB3",0603,3,600,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
J1,jst zh fretboard connector,1,FRETBOARD_CONNECTION,C485355
"J10, J8, J9",PinSocket_1x04_P1.27mm_Vertical,3,Conn_01x04_Socket,
J2,PinHeader_2x12_P2.54mm_Vertical,1,Conn_02x12_Odd_Even,
J3,PinHeader_1x10_P1.27mm_Vertical,1,Conn_01x10,
J4,PinHeader_1x08_P2.54mm_Vertical,1,GK3_breakout,
J5,gk3 connector THT,1,GK3_socket,
J6,PinHeader_1x08_P2.54mm_Vertical,1,post_amp_breakout,
J7,Jack_3.5mm_CUI_SJ1-3525N_Horizontal,1,AudioJack3_SwitchTR,
"JP1, JP10, JP11, JP12, JP13, JP14, JP15, JP16, JP17, JP18, JP19, JP2, JP3, JP4, JP6, JP7, JP8, JP9",SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,18,Jumper_2_Bridged,
JP5,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,Jumper_2_Open,
L1,L_Changjiang_FNR4020S,1,6.8uH,
"R1, R2",0603,2,47R,C23182
"R10, R11, R12, R13",0603,4,100R,C22976
"R14, R15, R28, R29, R42, R43",0603,6,1M,
"R16, R17, R18, R19, R30, R31, R32, R33, R44, R45, R46, R47",0603,12,2M,
"R20, R21, R34, R35, R48, R49, R66",0603,7,10k,
"R22, R24, R36, R38, R50, R52",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,6,Gain,
"R23, R25, R37, R39, R51, R53",0603,6,4.7k,
"R26, R27, R40, R41, R54, R55",0603,6,1k,
"R3, R4, R5, R56, R57, R59, R60, R62, R63",0603,9,2.2k,C21190
"R58, R61, R64",0603,3,100,
"R6, R7",0603,2,47k,C22935
R65,0603,1,50k,
R67,0603,1,1.8k,
"R8, R9",0603,2,47k,C22976
U1,Teensy41_breakout,1,Teensy4.1,
U10,SOT-23,1,AP7313-18SAG,
U2,TSSOP-24_4.4x7.8mm_P0.65mm,1,TCA9548APWR,
"U3, U4, U5",SOIC-8_3.9x4.9mm_P1.27mm,3,TL072,
"U6, U7, U8",QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm,3,SGTL5000XNLA3,
U9,SOIC-8_3.9x4.9mm_P1.27mm,1,TPS54331DR,
